,AcrobotAgentv1.0,AcrobotAgentv1.1,AcrobotAgentv1.2,AcrobotAgentv1.3
399,-500,-102,-152,-91
400,-500,-115,-122,-164
401,-500,-93,-139,-99
402,-500,-116,-127,-181
403,-500,-111,-500,-202
404,-500,-120,-88,-135
405,-500,-107,-117,-351
406,-500,-90,-102,-166
407,-500,-117,-98,-129
408,-500,-102,-133,-175
409,-500,-104,-154,-126
410,-500,-125,-150,-138
411,-500,-91,-96,-99
412,-500,-128,-88,-133
413,-500,-91,-128,-98
414,-500,-100,-136,-500
415,-500,-96,-98,-99
416,-500,-223,-103,-85
417,-500,-106,-87,-212
418,-500,-120,-87,-264
419,-500,-146,-129,-158
420,-500,-92,-120,-112
421,-500,-124,-148,-96
422,-500,-112,-105,-98
423,-500,-96,-117,-140
424,-500,-107,-138,-156
425,-500,-116,-161,-119
426,-500,-102,-118,-107
427,-500,-97,-134,-128
428,-500,-115,-130,-119
429,-500,-96,-139,-126
430,-500,-106,-130,-135
431,-500,-107,-122,-99
432,-500,-102,-152,-120
433,-500,-97,-87,-155
434,-500,-115,-108,-124
435,-500,-115,-100,-220
436,-500,-96,-112,-107
437,-500,-91,-165,-186
438,-500,-99,-126,-197
439,-500,-101,-129,-130
440,-500,-97,-117,-121
441,-500,-89,-105,-132
442,-500,-101,-110,-141
443,-500,-117,-137,-123
444,-500,-119,-136,-175
445,-500,-173,-169,-129
446,-500,-93,-87,-132
447,-500,-96,-104,-209
448,-500,-115,-129,-150
449,-500,-97,-174,-500
450,-500,-101,-101,-186
451,-500,-96,-88,-159
452,-500,-110,-138,-143
453,-500,-104,-217,-241
454,-500,-105,-96,-198
455,-500,-92,-182,-359
456,-500,-122,-88,-122
457,-500,-103,-136,-94
458,-500,-110,-124,-110
459,-500,-97,-96,-500
460,-500,-111,-145,-116
461,-500,-98,-97,-114
462,-500,-131,-128,-101
463,-500,-91,-141,-108
464,-500,-112,-88,-136
465,-500,-97,-96,-124
466,-500,-111,-139,-137
467,-500,-96,-150,-91
468,-500,-118,-100,-500
469,-500,-92,-134,-242
470,-500,-98,-133,-118
471,-500,-98,-88,-190
472,-500,-150,-113,-118
473,-500,-98,-139,-98
474,-500,-92,-113,-132
475,-500,-97,-85,-170
476,-500,-112,-88,-170
477,-500,-92,-179,-132
478,-500,-106,-151,-182
479,-500,-97,-164,-183
480,-500,-110,-95,-134
481,-500,-96,-114,-128
482,-500,-101,-112,-500
483,-500,-101,-170,-118
484,-500,-110,-112,-92
485,-500,-119,-120,-129
486,-500,-117,-280,-97
487,-500,-171,-87,-118
488,-500,-105,-94,-500
489,-500,-91,-110,-131
490,-500,-91,-122,-176
491,-500,-117,-122,-98
492,-500,-93,-144,-115
493,-500,-113,-125,-140
494,-500,-116,-122,-147
495,-500,-98,-109,-153
496,-500,-92,-110,-151
497,-500,-105,-135,-162
498,-500,-143,-153,-500
499,-500,-97,-122,-117
500,-500,-147,-156,-206
501,-500,-109,-89,-500
502,-500,-95,-98,-191
503,-500,-92,-130,-170
504,-500,-122,-119,-135
505,-500,-149,-500,-115
506,-500,-124,-142,-86
507,-500,-103,-102,-111
508,-500,-94,-131,-116
509,-500,-101,-140,-112
510,-500,-97,-115,-118
511,-500,-101,-118,-160
512,-500,-96,-96,-443
513,-500,-95,-118,-150
514,-500,-107,-88,-115
515,-500,-93,-138,-170
516,-500,-97,-101,-203
517,-500,-140,-127,-123
518,-500,-118,-152,-155
519,-500,-102,-179,-149
520,-500,-116,-134,-104
521,-500,-100,-113,-180
522,-500,-91,-136,-125
523,-500,-102,-142,-500
524,-500,-117,-99,-170
525,-500,-92,-165,-118
526,-500,-97,-140,-93
527,-500,-128,-127,-158
528,-500,-102,-121,-99
529,-500,-119,-87,-134
530,-500,-99,-105,-249
531,-500,-103,-128,-123
532,-500,-91,-140,-154
533,-500,-157,-115,-195
534,-500,-96,-105,-98
535,-500,-129,-110,-500
536,-500,-110,-92,-183
537,-500,-122,-103,-102
538,-500,-118,-88,-124
539,-500,-91,-162,-111
540,-500,-98,-147,-169
541,-500,-119,-500,-183
542,-500,-136,-87,-256
543,-500,-95,-200,-99
544,-500,-96,-121,-101
545,-500,-150,-111,-121
546,-500,-112,-118,-117
547,-500,-98,-99,-118
548,-500,-97,-103,-100
549,-500,-96,-128,-100
550,-500,-125,-96,-98
551,-500,-102,-137,-500
552,-500,-105,-109,-500
553,-500,-104,-154,-136
554,-500,-99,-128,-119
555,-500,-103,-90,-128
556,-500,-96,-132,-127
557,-500,-108,-162,-153
558,-500,-116,-115,-238
559,-500,-128,-117,-111
560,-500,-98,-154,-149
561,-500,-118,-100,-139
562,-500,-112,-121,-500
563,-500,-98,-87,-167
564,-500,-127,-190,-500
565,-500,-98,-88,-123
566,-500,-103,-140,-92
567,-500,-100,-118,-142
568,-500,-91,-109,-234
569,-500,-100,-167,-500
570,-500,-133,-117,-119
571,-500,-92,-105,-171
572,-500,-93,-107,-106
573,-500,-115,-139,-98
574,-500,-97,-127,-119
575,-500,-97,-117,-116
576,-500,-96,-140,-125
577,-500,-97,-106,-121
578,-500,-93,-87,-132
579,-500,-91,-137,-100
580,-500,-119,-500,-115
581,-500,-103,-105,-166
582,-500,-118,-150,-170
583,-500,-91,-105,-142
584,-500,-93,-156,-500
585,-500,-129,-122,-266
586,-500,-96,-110,-500
587,-500,-96,-145,-293
588,-500,-107,-249,-140
589,-500,-97,-99,-134
590,-500,-115,-87,-122
591,-500,-126,-96,-165
592,-500,-117,-136,-110
593,-500,-117,-118,-151
594,-500,-96,-122,-174
595,-500,-92,-142,-128
596,-500,-113,-101,-117
597,-500,-110,-87,-126
598,-500,-90,-500,-197
599,-500,-96,-91,-99
600,-500,-101,-102,-185
601,-500,-95,-91,-208
602,-500,-118,-99,-239
603,-500,-116,-133,-500
604,-500,-98,-87,-99
605,-500,-99,-114,-158
606,-500,-103,-126,-136
607,-500,-237,-118,-500
608,-500,-92,-131,-250
609,-500,-97,-124,-229
610,-500,-124,-126,-500
611,-500,-117,-144,-127
612,-500,-138,-103,-94
613,-500,-97,-111,-151
614,-500,-111,-111,-118
615,-500,-92,-111,-115
616,-500,-120,-107,-142
617,-500,-124,-143,-117
618,-500,-102,-97,-109
619,-500,-108,-111,-192
620,-500,-99,-113,-160
621,-500,-98,-129,-124
622,-500,-120,-120,-102
623,-500,-93,-136,-117
